id,herramienta,severidad,identificador_tecnico,hallazgo,control_iso27001,objetivo_cobit,tipo_deficiencia,evidencia,estado_revision
S04-0110,Docker Bench,Alta,CIS Docker 5.2,"5.2 - Ensure SELinux security options are set, if applicable",A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0111,Docker Bench,Alta,CIS Docker 5.25,5.25 - Ensure the container is restricted from acquiring additional privileges,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0112,Docker Bench,Alta,CIS Docker 5.26,5.26 - Ensure container health is checked at runtime,A.8.9 Configuration management,BAI10.02,Diseño,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0113,Docker Bench,Alta,CIS Docker 5.28,5.28 - Ensure PIDs cgroup limit is used,A.8.9 Configuration management,BAI10.02,Diseño,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0114,Trivy,High,CVE-2016-1000223,CVE-2016-1000223 en jws 0.2.6 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0115,Trivy,High,CVE-2017-18214,CVE-2017-18214 en moment 2.0.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0116,Trivy,High,CVE-2018-16487,CVE-2018-16487 en lodash 2.4.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0117,Trivy,High,CVE-2020-15084,CVE-2020-15084 en express-jwt 0.1.3 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0118,Trivy,High,CVE-2021-23337,CVE-2021-23337 en lodash 2.4.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0119,Trivy,High,CVE-2022-23539,CVE-2022-23539 en jsonwebtoken 0.1.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0120,Trivy,High,CVE-2022-23539,CVE-2022-23539 en jsonwebtoken 0.4.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0121,Trivy,High,CVE-2022-24785,CVE-2022-24785 en moment 2.0.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0122,Trivy,High,CVE-2022-25881,CVE-2022-25881 en http-cache-semantics 3.8.1 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0123,Trivy,High,CVE-2022-25887,CVE-2022-25887 en sanitize-html 1.4.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0124,Trivy,High,CVE-2024-37890,CVE-2024-37890 en ws 7.4.6 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0125,Trivy,High,CVE-2025-47935,CVE-2025-47935 en multer 1.4.5-lts.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0126,Trivy,High,CVE-2025-47944,CVE-2025-47944 en multer 1.4.5-lts.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0127,Trivy,High,CVE-2025-48997,CVE-2025-48997 en multer 1.4.5-lts.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0128,Trivy,High,CVE-2025-61726,CVE-2025-61726 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0129,Trivy,High,CVE-2025-61726,CVE-2025-61726 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0130,Trivy,High,CVE-2025-61729,CVE-2025-61729 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0131,Trivy,High,CVE-2025-61729,CVE-2025-61729 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0132,Trivy,High,CVE-2025-65945,CVE-2025-65945 en jws 0.2.6 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0133,Trivy,High,CVE-2025-7338,CVE-2025-7338 en multer 1.4.5-lts.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0134,Trivy,High,CVE-2026-12151,CVE-2026-12151 en undici 5.29.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0135,Trivy,High,CVE-2026-14456,CVE-2026-14456 en libssl3t64 3.5.6-1~deb13u2 · objetivo bkimminich/juice-shop:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0136,Trivy,High,CVE-2026-14456,CVE-2026-14456 en libssl3t64 3.5.6-1~deb13u2 · objetivo postgres:16 (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0137,Trivy,High,CVE-2026-14456,CVE-2026-14456 en libssl3t64 3.5.6-1~deb13u2 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0138,Trivy,High,CVE-2026-14456,CVE-2026-14456 en openssl 3.5.6-1~deb13u2 · objetivo postgres:16 (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0139,Trivy,High,CVE-2026-14456,CVE-2026-14456 en openssl 3.5.6-1~deb13u2 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0140,Trivy,High,CVE-2026-14456,CVE-2026-14456 en openssl-provider-legacy 3.5.6-1~deb13u2 · objetivo postgres:16 (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0141,Trivy,High,CVE-2026-14456,CVE-2026-14456 en openssl-provider-legacy 3.5.6-1~deb13u2 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0142,Trivy,High,CVE-2026-1526,CVE-2026-1526 en undici 5.29.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0143,Trivy,High,CVE-2026-2229,CVE-2026-2229 en undici 5.29.0 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0144,Trivy,High,CVE-2026-2359,CVE-2026-2359 en multer 1.4.5-lts.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0145,Trivy,High,CVE-2026-23745,CVE-2026-23745 en tar 6.2.1 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0146,Trivy,High,CVE-2026-23950,CVE-2026-23950 en tar 6.2.1 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0147,Trivy,High,CVE-2026-24842,CVE-2026-24842 en tar 6.2.1 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0148,Trivy,High,CVE-2026-25679,CVE-2026-25679 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0149,Trivy,High,CVE-2026-25679,CVE-2026-25679 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0150,Trivy,High,CVE-2026-26960,CVE-2026-26960 en tar 6.2.1 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0151,Trivy,High,CVE-2026-26996,CVE-2026-26996 en minimatch 3.0.5 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0152,Trivy,High,CVE-2026-27145,CVE-2026-27145 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0153,Trivy,High,CVE-2026-27145,CVE-2026-27145 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0154,Trivy,High,CVE-2026-27903,CVE-2026-27903 en minimatch 3.0.5 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0155,Trivy,High,CVE-2026-27904,CVE-2026-27904 en minimatch 3.0.5 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0156,Trivy,High,CVE-2026-29786,CVE-2026-29786 en tar 6.2.1 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0157,Trivy,High,CVE-2026-31802,CVE-2026-31802 en tar 6.2.1 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0158,Trivy,High,CVE-2026-32280,CVE-2026-32280 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0159,Trivy,High,CVE-2026-32280,CVE-2026-32280 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0160,Trivy,High,CVE-2026-32281,CVE-2026-32281 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0161,Trivy,High,CVE-2026-32281,CVE-2026-32281 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0162,Trivy,High,CVE-2026-32283,CVE-2026-32283 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0163,Trivy,High,CVE-2026-32283,CVE-2026-32283 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0164,Trivy,High,CVE-2026-3304,CVE-2026-3304 en multer 1.4.5-lts.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0165,Trivy,High,CVE-2026-33151,CVE-2026-33151 en socket.io-parser 4.0.5 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0166,Trivy,High,CVE-2026-33164,CVE-2026-33164 en libde265-0 1.0.15-1+deb13u1 · objetivo wordpress:latest (debian 13.6),A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_wordpress_latest.json,Revisado contra criterio PT04
S04-0167,Trivy,High,CVE-2026-33811,CVE-2026-33811 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0168,Trivy,High,CVE-2026-33811,CVE-2026-33811 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0169,Trivy,High,CVE-2026-33814,CVE-2026-33814 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0170,Trivy,High,CVE-2026-33814,CVE-2026-33814 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0171,Trivy,High,CVE-2026-33818,CVE-2026-33818 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0172,Trivy,High,CVE-2026-33818,CVE-2026-33818 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0173,Trivy,High,CVE-2026-3520,CVE-2026-3520 en multer 1.4.5-lts.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0174,Trivy,High,CVE-2026-39820,CVE-2026-39820 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0175,Trivy,High,CVE-2026-39820,CVE-2026-39820 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0176,Trivy,High,CVE-2026-39821,CVE-2026-39821 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0177,Trivy,High,CVE-2026-39821,CVE-2026-39821 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0178,Trivy,High,CVE-2026-39822,CVE-2026-39822 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0179,Trivy,High,CVE-2026-39822,CVE-2026-39822 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0180,Trivy,High,CVE-2026-39836,CVE-2026-39836 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0181,Trivy,High,CVE-2026-39836,CVE-2026-39836 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0182,Trivy,High,CVE-2026-42499,CVE-2026-42499 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0183,Trivy,High,CVE-2026-42499,CVE-2026-42499 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0184,Trivy,High,CVE-2026-42504,CVE-2026-42504 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0185,Trivy,High,CVE-2026-42504,CVE-2026-42504 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0186,Trivy,High,CVE-2026-48779,CVE-2026-48779 en ws 7.4.6 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0187,Trivy,High,CVE-2026-5079,CVE-2026-5079 en multer 1.4.5-lts.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0188,Trivy,High,CVE-2026-56853,CVE-2026-56853 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0189,Trivy,High,CVE-2026-56853,CVE-2026-56853 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0190,Trivy,High,CVE-2026-56858,CVE-2026-56858 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0191,Trivy,High,CVE-2026-56858,CVE-2026-56858 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0192,Trivy,High,CVE-2026-56859,CVE-2026-56859 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0193,Trivy,High,CVE-2026-56859,CVE-2026-56859 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0194,Trivy,High,CVE-2026-56860,CVE-2026-56860 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0195,Trivy,High,CVE-2026-56860,CVE-2026-56860 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0196,Trivy,High,CVE-2026-56862,CVE-2026-56862 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_mariadb_11.json,Revisado contra criterio PT04
S04-0197,Trivy,High,CVE-2026-56862,CVE-2026-56862 en stdlib v1.24.6 · objetivo usr/local/bin/gosu,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_postgres_16.json,Revisado contra criterio PT04
S04-0198,Trivy,High,CVE-2026-59725,CVE-2026-59725 en engine.io 4.1.2 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
S04-0199,Trivy,High,CVE-2026-59874,CVE-2026-59874 en tar 6.2.1 · objetivo Node.js,A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/trivy_bkimminich_juice-shop_latest.json,Revisado contra criterio PT04
